0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.557656,0.000000,0.000000,0.442344
0.304602,0.000000,0.000000,0.145082,0.000000,0.134553,0.000000,0.106536,0.309227,0.000000
0.000000,0.346746,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.653254
0.203577,0.000000,0.216526,0.000000,0.335511,0.000000,0.244386,0.000000,0.000000,0.000000
0.279329,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.493779,0.226892,0.000000
0.249658,0.000000,0.143685,0.000000,0.254184,0.000000,0.029415,0.000000,0.323059,0.000000
0.000000,0.000000,0.707956,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.292044
0.000000,0.000000,0.125182,0.356259,0.000000,0.000000,0.000000,0.000000,0.187818,0.330741
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.213983,0.000000,0.000000,0.000000,0.786017,0.000000
